GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),GPS Altitude(ft),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Speed (OBD)(mph),Engine RPM(rpm),Engine Coolant Temperature(°C)
Sat Apr 13 15:27:06 CDT 2019,27:06.3,-88.17584848,41.8089397,0,3,174,0,-0.22984336,-0.22984336,9.634268,0.001645148,570.8661461,0.001645148,0.882086396,0,718,-
Sat Apr 13 15:27:07 CDT 2019,27:07.3,-88.1758486,41.80893975,0,3,174,0,-0.22984336,-0.32561144,9.653421,-6.93E-04,570.8661461,-6.93E-04,0.882086396,0,718,-
Sat Apr 13 15:27:08 CDT 2019,27:08.3,-88.17584872,41.80893987,0,3,174,0,-0.2681506,-0.2681506,9.672575,8.48E-04,570.8661461,8.48E-04,0.885991275,0,718,-
Sat Apr 13 15:27:09 CDT 2019,27:09.3,-88.17584887,41.80893999,0,3,174,0,-0.21068975,-0.22984336,9.672575,0.005503416,570.8661461,0.005503416,0.885991275,0,718,-
Sat Apr 13 15:27:10 CDT 2019,27:10.3,-88.17584891,41.80894011,0,3,174,0,-0.2681506,-0.22984336,9.615114,-2.05E-04,570.8661461,-2.05E-04,0.880133927,0,718,-
Sat Apr 13 15:27:11 CDT 2019,27:11.3,-88.17584891,41.80894029,0,3,174,0,-0.2681506,-0.32561144,9.615114,0.005243593,570.8661461,0.005243593,0.880133927,0,718,-
Sat Apr 13 15:27:12 CDT 2019,27:12.3,-88.17584898,41.80894043,0,3,174,0,-0.21068975,-0.32561144,9.653421,0.001802266,570.8661461,0.001802266,0.882086396,0,718,-
Sat Apr 13 15:27:13 CDT 2019,27:13.3,-88.17584906,41.80894057,0,3,174,0,-0.22984336,-0.36391866,9.672575,0.005967021,570.8661461,0.005967021,0.885991275,0,718,-
Sat Apr 13 15:27:14 CDT 2019,27:14.3,-88.17584898,41.80894062,0,3,174,0,-0.2873042,-0.24899697,9.672575,0.005752623,570.8661461,0.00586468,0.885991275,0,718,-
Sat Apr 13 15:27:15 CDT 2019,27:15.3,-88.17584888,41.80894068,0,3,174,0,-0.32561144,-0.34476504,9.595961,0.00171753,570.8661461,0.00171753,0.878181458,0,718,-
Sat Apr 13 15:27:16 CDT 2019,27:16.3,-88.17584886,41.80894072,0,3,174,0,-0.2681506,-0.2681506,9.615114,-1.04E-04,570.8661461,-1.04E-04,0.880133927,0,718,-
Sat Apr 13 15:27:17 CDT 2019,27:17.3,-88.17584884,41.80894076,0,3,174,0,-0.2873042,-0.2681506,9.595961,-0.001998544,570.8661461,-0.001998544,0.878181458,0,718,-
Sat Apr 13 15:27:18 CDT 2019,27:18.3,-88.1758489,41.8089408,0,3,174,0,-0.30645782,-0.32561144,9.672575,0.006044269,570.8661461,0.006044269,0.885991275,0,718,-
Sat Apr 13 15:27:19 CDT 2019,27:19.3,-88.17584893,41.80894082,0,3,174,0,-0.2681506,-0.30645782,9.672575,6.29E-04,570.8661461,-1.19E-04,0.880133927,0,718,-
Sat Apr 13 15:27:20 CDT 2019,27:20.3,-88.17584896,41.80894076,0,3,174,0,-0.21068975,-0.34476504,9.615114,-1.07E-06,570.8661461,-1.07E-06,0.880133927,0,718,-
Sat Apr 13 15:27:21 CDT 2019,27:21.3,-88.17584904,41.80894068,0,3,174,0,-0.2873042,-0.2873042,9.653421,0.003910065,570.8661461,0.00586468,0.885991275,0,718,-
Sat Apr 13 15:27:22 CDT 2019,27:22.3,-88.17584921,41.80894057,0,3,174,0,-0.2873042,-0.24899697,9.710882,0.005599141,570.8661461,0.005599141,0.889896214,0,718,-
